reviewId,anonymized_user,score,content,at
3f405030-f373-4e00-a4ae-c9548bab4a7f,사용자12,5,카니발 하이리무진,2024-06-04 08:17:10
7951a8c0-679a-49fe-a2f5-409657054c31,사용자14,4,좋습니다 하여간 좋습니다,2024-05-28 18:54:34
75102d6f-ba80-4b24-8a57-52160f56b824,사용자31,1,수리잘 안해줍니다 비추천,2024-04-23 10:41:12
37247559-5095-437d-b4b4-75a9a7ae1143,사용자41,1,차량을 검색하려하면 검색도안돼고 멈춰있는데 검색하기싫게한다,2024-03-23 18:42:28
3f4a425a-0f3c-43aa-a12e-f2183c81e3b0,사용자118,5,살펴보기도 편하고 빨라서 좋아요,2024-03-13 17:39:42
f2ba2a65-e535-4a7b-bd43-6c66a1f90cf4,사용자143,5,중고차 알아보는 중인데 여기저기 비교해보려고 다운받았어요 눈에보기쉽고 사용이 편리해요 좋아요,2024-03-13 17:23:52
1347eb0a-3029-4007-83d7-bb286b2dacde,사용자164,5,사용하기 편리하고 좋습니다,2024-03-13 14:31:57
c7041ba1-319b-451f-a51b-db410e47aa39,사용자171,5,차량거래할때 걱정되는데 정보가 많아서 좋아요,2024-03-13 14:21:29
570ed82e-fa8d-41db-8a2e-b3849a902e99,사용자179,5,중고차구매는 케이카 집까지 배송해주는 서비스가 너무좋아요,2024-03-13 14:15:24
548ea7b2-821e-4edd-9b81-cc9c1ffc09d9,사용자197,1,접속장애 접속장애 접속장애,2024-01-18 19:00:51
7638639e-ca85-490b-93f2-8f7cd8c6e90b,사용자199,1,검색도 잘안돼고 겁나느림,2024-01-16 23:43:54
5916829b-c442-428e-a37a-a43d9aec82a4,사용자237,1,앱관리좀하세요 안들어가져요,2023-06-22 02:04:59
68dbd93c-7068-4163-aac1-e6de51ee9298,사용자255,1,개인정보 사진및미디어 다들여다봄,2023-05-07 06:45:04
e5b96503-69c3-4e0c-ba39-0b505e4fa164,사용자262,2,무한로딩 해결해주시오,2023-04-17 15:46:59
83835a15-d09d-4fc8-a0f6-9db43ad01751,사용자272,3,서버에러좀 고쳐주세요,2023-04-07 13:37:07
7333a740-d61f-4de9-a2c4-51cffc92bddd,사용자282,5,좋은앱이네요,2023-03-19 15:00:25
120a678c-4252-4de4-b03e-bfdf72b83420,사용자287,1,3초만에 업데이트 안되노 그래서 별점1이다,2023-03-08 16:47:06
fce8a92e-b988-4d0f-9621-d5fdf8353076,사용자289,1,서버렉 느려요 검색안되요,2023-03-03 15:09:09
af28793e-2c4f-4c8f-9e5e-b11756d0f8d5,사용자305,4,업데이트가 잘못된건지 화면이 안넘어가요 정검좀 해주세요,2023-01-25 16:46:06
5150f684-8455-4931-9283-3aacaa07186b,사용자308,2,서브에러가 계속이네요,2023-01-14 09:07:19
545b5a66-cf2f-461c-972f-28680f122820,사용자331,1,케이카에 사기당했습니다 엔진보링해야되는걸 팔고있음 딜러연락하니깐 안받음,2022-11-01 18:52:31
8838c11f-e171-4de2-a8a3-7e0b3c477239,사용자338,1,어플도안들어가지고 오류가너무많음,2022-10-16 11:24:44
688e46d9-126e-4393-9d30-1bf340a759b7,사용자354,5,유용한 어플인거 같아요,2022-10-12 03:03:49
6ce36330-d910-4b21-a5c4-d45baab0fd84,사용자359,5,유용합니다 잘쓸게요,2022-10-07 18:42:54
c207a729-d045-49b2-bd6b-e46e718bdfaa,사용자367,5,차량구입을 위해보는데 좋은것같아요,2022-10-06 14:39:52
dd01f819-3d31-4f67-86c9-d0dcd31b668b,사용자386,5,꼼꼼한 정비후 판매가 장점입니다,2022-10-05 12:15:07
17c71c95-e0cb-4d20-a015-57de9a324231,사용자419,5,사용하기 편리하고 믿을만해서 좋습니다,2022-10-05 09:33:46
82f56f22-4d4b-492e-b94a-72de547b14c3,사용자423,5,중고차는 선택하기가 힘든거 같은데 잘비교할수 있어서 좋아요 사기당할걱정도 덜합니다 중고차 사고팔고할때 이용하면 좋아요,2022-10-05 09:17:09
d2288e9b-a23b-458b-92db-c3bbbf6ee56a,사용자424,5,중고차구매하려하는데 직접가서 이것저것 얘기들어도 여자라 자동차에 무지하여 못알아듣는것 투성일게 뻔한데 이렇게 자세하게 설명되어있는 앱이있어서 차사는데 많은도움이 될것같아 좋아요,2022-10-05 09:13:26
5b7ab031-2135-4697-ad3b-d6c3d27173a8,사용자432,4,디자인이 직관적이고 좋아요,2022-10-05 08:48:15
8efb5fff-1d23-4cb0-8a5a-e4586963aba2,사용자450,5,앱구성도 깔끔하고 보기간편하게 잘되어있는편이예요 무엇보다 중고차도 다양하고 가격도 적당하게 형성되어있구요,2022-10-05 07:13:34
83c5fc98-0062-4097-b779-5a02d1e4a604,사용자544,5,중고차 사기도 많은데 여기는 믿음이 가네요 잘이용하겠습니다,2022-10-05 00:00:51
ec30faae-97c5-4b93-a2d5-ffba979e7274,사용자624,5,중고차팔때 간편하고 편리하네요,2022-10-04 23:07:28
810eaec8-ad3f-49ad-b843-c458bdd85582,사용자679,5,케이카 좋아요,2022-10-04 22:37:07
fac5179e-e10e-48ec-8423-c9dfc44c5e9f,사용자722,5,사용하기편하네요 어플이정리가잘돼서 조건검색하기아주편하네요 차량구매할때참고할것같아요 대기업이라믿음도잇고 기대됨니다,2022-10-04 22:13:56
7deda758-aca8-40ec-b077-4cbc7c3a84f9,사용자756,5,케이카 최고에요 깔끔하고 신속한정보와 최신정보까지 편하게 앉아서 볼수있어서 좋습니다,2022-10-04 21:54:45
d30a7c41-1a4f-4b4e-9506-58ed0baf7a6f,사용자790,5,편리하고 좋으네요,2022-10-04 21:39:27
2cc057fb-a413-4774-9097-4181175a17d0,사용자794,5,중고차 사기전에 참고하기 좋습니다,2022-10-04 21:38:42
b48bde8b-eff8-4a70-9581-9eeeb15b531e,사용자809,5,수요자의 요구에 확실한 정보를 제공하며 신뢰할수가 있습니다 편리한 디스플레이로써 계속적으로 사용하여 생활에 유익함을 주겠습니다,2022-10-04 21:34:44
8f122e95-9aa3-4f46-b8c1-fb3cb8f1daa1,사용자829,5,사용하기 편하고 유용해요,2022-10-04 21:27:46
51018b38-fda4-4899-9438-197d2d9609bb,사용자857,5,집앞에서 차를받아볼수 있다니 신세계입니다,2022-10-04 21:21:08
467eac47-c921-4e5a-a7b7-4e9fc89dbc1c,사용자907,4,사용하기 편리하네요,2022-10-04 21:03:01
842d1cfc-e033-43ad-8c11-13ae6f677ac7,사용자1114,5,한눈에 정보를 알수있어 좋네요 바쁠때 어플통해 알아보면 좋겠어요 지인들에게도 알려줘야겠네요,2022-10-04 20:04:43
2f8aa8a5-09c6-4618-b518-3c1f4f340bb4,사용자1139,4,알고싶은 정보가 많아서좋네요,2022-10-04 19:58:07
