date,anonymized_user,score,content
2024-07-12,사용자4,4,접속장애가 계속되는 사유가 뭘까요?
2024-06-04,사용자12,5,카니발 하이리무진
2024-05-28,사용자14,4,좋습니다 하여간 좋습니다
2024-04-23,사용자31,1,수리잘 안해줍니다 비추천
2024-03-23,사용자41,1,차량을 검색하려하면 검색도안돼고 멈춰있는데 검색하기싫게한다
2024-03-13,사용자87,5,중고차 어플요즘 너무많죠 단연도움되고있어서 너무감사합니다!!
2024-03-13,사용자112,5,"중고차살때 불안했었는데 케이카앱을 알고난이후 마음이 편해졌어요! 사기당할걱정도없고 믿고살수있으니 더좋네요, 앞으로도 중고차거래시 애용할게요"
2024-03-13,사용자118,5,살펴보기도 편하고 빨라서 좋아요
2024-03-13,사용자143,5,중고차 알아보는 중인데 여기저기 비교해보려고 다운받았어요 눈에보기쉽고 사용이 편리해요 좋아요
2024-03-13,사용자144,5,이제는 자동차 배송시대라니~ 앱UI도 깔끔하고 사용하기 편해서 마음에 드네요.
2024-03-13,사용자164,5,사용하기 편리하고 좋습니다
2024-03-13,사용자171,5,차량거래할때 걱정되는데 정보가 많아서 좋아요
2024-03-13,사용자178,5,정보가 많아요~^^ 깔끔하게 되어있고 유용해요~^^
2024-03-13,사용자179,5,중고차구매는 케이카 집까지 배송해주는 서비스가 너무좋아요
2024-01-18,사용자197,1,접속장애 접속장애 접속장애
2024-01-16,사용자199,1,검색도 잘안돼고 겁나느림
2023-12-15,사용자207,1,무한로딩 뭡니까?
2023-10-22,사용자218,5,확실한신뢰
2023-09-10,사용자224,1,접속불가
2023-06-22,사용자237,1,앱관리좀하세요 안들어가져요
2023-06-18,사용자241,3,3초업뎃은 과장이잖소..
2023-05-23,사용자248,1,어플에 상당히 문제가 많네요 개선할 의지는 없나요?
2023-05-07,사용자255,1,개인정보 사진및미디어 다들여다봄
2023-04-17,사용자262,2,무한로딩 해결해주시오
2023-04-07,사용자272,3,서버에러좀 고쳐주세요
2023-03-19,사용자282,5,좋은앱이네요
2023-03-18,사용자283,1,양아치 중개인 후려침. 유재석 쪽팔린줄 알아라 이딴거지가튼 회사를 광고하고 돈받아쳐먹는 꼬라지.
2023-03-08,사용자287,1,3초만에 업데이트 안되노 그래서 별점1이다
2023-03-03,사용자289,1,서버렉 느려요 검색안되요
2023-02-02,사용자303,1,설치가 안되요. 수정부탁
2023-01-25,사용자305,4,업데이트가 잘못된건지 화면이 안넘어가요 정검좀 해주세요
2023-01-14,사용자308,2,서브에러가 계속이네요
2022-12-27,사용자316,1,되는게없음
2022-11-01,사용자331,1,케이카에 사기당했습니다 엔진보링해야되는걸 팔고있음 딜러연락하니깐 안받음
2022-10-16,사용자338,1,어플도안들어가지고 오류가너무많음
2022-10-16,사용자339,3,갑자기 접속이 안돼네요.
2022-10-16,사용자341,1,접속이 안되네요...
2022-10-14,사용자350,5,사용법간단하고 빠르고 정확해서 좋아요♡
2022-10-12,사용자354,5,유용한 어플인거 같아요
2022-10-07,사용자359,5,유용합니다 잘쓸게요
2022-10-06,사용자367,5,차량구입을 위해보는데 좋은것같아요
2022-10-05,사용자386,5,꼼꼼한 정비후 판매가 장점입니다
2022-10-05,사용자419,5,사용하기 편리하고 믿을만해서 좋습니다
2022-10-05,사용자423,5,중고차는 선택하기가 힘든거 같은데 잘비교할수 있어서 좋아요 사기당할걱정도 덜합니다 중고차 사고팔고할때 이용하면 좋아요
2022-10-05,사용자424,5,중고차구매하려하는데 직접가서 이것저것 얘기들어도 여자라 자동차에 무지하여 못알아듣는것 투성일게 뻔한데 이렇게 자세하게 설명되어있는 앱이있어서 차사는데 많은도움이 될것같아 좋아요
2022-10-05,사용자432,4,디자인이 직관적이고 좋아요
2022-10-05,사용자434,5,안그래도 중고차 사려했는데 믿음직한 어플입니다.
2022-10-05,사용자441,5,편리하게 찾아보았습니다. 생각했던것보다 많은차량을 비교해보았네요.
2022-10-05,사용자450,5,앱구성도 깔끔하고 보기간편하게 잘되어있는편이예요 무엇보다 중고차도 다양하고 가격도 적당하게 형성되어있구요
2022-10-05,사용자480,3,유용한 어플이네요~!!
2022-10-05,사용자492,5,중고차는 사기가 많다고 들었는데 케이카는 믿을수 있겠죠? 대기업이니 믿어봅니다. 첫차는 케이카에서 살래요
2022-10-05,사용자544,5,중고차 사기도 많은데 여기는 믿음이 가네요 잘이용하겠습니다
2022-10-04,사용자581,5,사용자중심의 중고차앱ㅎ 믿을수있는 중고차를 알아보기싑지않은데 어플로간편하게 알아볼수있어서넘 편리하고좋아요
2022-10-04,사용자617,5,"앱구성이 알차고 좋네요. 차구매시 집앞까지 딜리버리 서비스, 구매후 3일이내 환불시스템 만족스럽네요. 사업번창하세요~/"
2022-10-04,사용자624,5,중고차팔때 간편하고 편리하네요
2022-10-04,사용자679,5,케이카 좋아요
2022-10-04,사용자722,5,사용하기편하네요 어플이정리가잘돼서 조건검색하기아주편하네요 차량구매할때참고할것같아요 대기업이라믿음도잇고 기대됨니다
2022-10-04,사용자753,5,대기업에서 운영하는앱이라 신뢰가가네요ㅎㅎ요즘차알아보려고 이것저것많이보고있는뎅 앱보기도편리하고 정리도잘되어있어용!! 넘나좋은듯^^
2022-10-04,사용자756,5,케이카 최고에요 깔끔하고 신속한정보와 최신정보까지 편하게 앉아서 볼수있어서 좋습니다
2022-10-04,사용자790,5,편리하고 좋으네요
2022-10-04,사용자794,5,중고차 사기전에 참고하기 좋습니다
2022-10-04,사용자809,5,수요자의 요구에 확실한 정보를 제공하며 신뢰할수가 있습니다 편리한 디스플레이로써 계속적으로 사용하여 생활에 유익함을 주겠습니다
2022-10-04,사용자829,5,사용하기 편하고 유용해요
2022-10-04,사용자857,5,집앞에서 차를받아볼수 있다니 신세계입니다
2022-10-04,사용자907,4,사용하기 편리하네요
2022-10-04,사용자963,5,물건들을 초보같은저에게는 믿음직한회사에서 편하게 찾을수있는앱!!!
2022-10-04,사용자989,5,대한민국 대표중고차 인정합니다. 부족한점이 없어요
2022-10-04,사용자1114,5,한눈에 정보를 알수있어 좋네요 바쁠때 어플통해 알아보면 좋겠어요 지인들에게도 알려줘야겠네요
2022-10-04,사용자1139,4,알고싶은 정보가 많아서좋네요
2022-10-04,사용자1178,5,믿을만한 매물이 많아요
2022-10-04,사용자1204,5,중고차를 안전하고 편리하게 구매할수있는 케어카 내차사기 홈서비스가 마음에 쏙드는 앱입니다
2022-10-04,사용자1215,5,Good 사용하기편하고 좋아요 간편하게 이용할수있고 다양하게 볼수있어서 편리한거같아요 추천합니다 여러가지 내용도 함께여서 편하네요
2022-10-04,사용자1265,5,중고차 가격검색을 하다가 알게된 케이카앱!!! 검색도 편리하게 되어있고 가격도 한눈에 볼수있어서 좋아요^^
2022-10-04,사용자1284,5,추천합니다!
2022-10-04,사용자1297,5,이용이 편리하고 좋습니다
2022-10-04,사용자1302,5,편리하고 친절해요
2022-10-04,사용자1303,5,사용자 편리하게 인터페이스 이용할수잇고 믿은직한 매물이라 신뢰갑니다
2022-10-04,사용자1310,5,어느때보다 유재석이 모델이니깐 믿어볼게요 국민엠씨가 추천해주는거니깐 그리고 침수차 보상은 획기적인데요
2022-10-04,사용자1311,5,케이카앱이생겨서너무좋습니다!! 믿고쓰는케이카중고차앱이네요 앱메뉴가사용자들이쓰기편리하게구성되어있고내차팔기내차사기에렌트메뉴까지있어서중고차관련된것은케이카앱하나면되네요편리해서좋아요
2022-10-04,사용자1321,5,지인추천에 써봤는데 진짜좋네요!
2022-10-04,사용자1327,5,중고차 개인거래는 믿음이안가고 케이카는 믿음이갑니다 중고차 거래시 들리게되는곳입니다
2022-10-04,사용자1343,5,케이카 최고네요!
